        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#              s             mB             ?C              %            m/s              ?              m
#---------------------------------------------------------------------------------------------------------
          148,0         883,45         +10,58          67,74           16,3            321          601,5
          149,0         883,05         +10,52          68,25           16,3            321          605,3
          150,0         882,65         +10,47          68,25           16,3            321          609,1
          151,0         882,24         +10,41          68,65           16,4            321          612,9
          152,0         881,84         +10,36          68,98           16,4            320          616,7
          153,0         881,43         +10,32          68,97           16,4            321          620,6
          154,0         881,03         +10,26          68,75           16,4            321          624,4
          155,0         880,62         +10,25          68,70           16,4            321          628,2
          156,0         880,22         +10,24          67,79           16,4            322          632,0
          157,0         879,83         +10,20          68,52           16,4            322          635,8
          158,0         879,43         +10,15          68,75           16,5            323          639,5
          159,0         879,04         +10,13          68,47           16,6            323          643,2
          160,0         878,65         +10,11          69,28           16,7            323          646,9
          161,0         878,26         +10,11          68,72           16,8            322          650,6
          162,0         877,88         +10,09          68,76           16,8            322          654,2
          163,0         877,51         +10,04          68,40           16,8            322          657,8
          164,0         877,13         +10,00          68,56           16,8            322          661,3
          165,0         876,76          +9,98          69,57           16,7            322          664,8
          166,0         876,39          +9,95          70,54           16,8            323          668,3
          167,0         876,01          +9,91          70,25           16,8            323          671,9
          168,0         875,63          +9,87          70,80           16,9            323          675,5
          169,0         875,25          +9,84          70,84           16,9            323          679,1
          170,0         874,87          +9,78          70,80           17,0            323          682,7
          171,0         874,50          +9,74          70,80           17,0            323          686,3
          172,0         874,13          +9,71          70,66           17,1            323          689,8
          173,0         873,76          +9,68          70,94           17,1            323          693,3
          174,0         873,40          +9,66          70,64           17,2            323          696,8
          175,0         873,03          +9,63          70,08           17,2            322          700,2
          176,0         872,67          +9,64          69,11           17,1            322          703,7
          177,0         872,30          +9,70          67,98           17,1            322          707,2
          178,0         871,94          +9,74          67,00           17,1            323          710,7
          179,0         871,57          +9,74          67,11           17,1            323          714,2
          180,0         871,20          +9,71          67,72           17,2            323          717,7
          181,0         870,82          +9,67          68,13           17,3            323          721,3
          182,0         870,44          +9,67          68,96           17,4            324          725,0
          183,0         870,05          +9,64          69,50           17,4            324          728,6
          184,0         869,67          +9,60          69,23           17,4            324          732,3
          185,0         869,28          +9,57          69,37           17,4            324          736,0
          186,0         868,89          +9,54          69,71           17,4            324          739,8
          187,0         868,49          +9,51          69,41           17,5            324          743,6
          188,0         868,09          +9,46          69,89           17,5            324          747,4
          189,0         867,69          +9,43          70,08           17,5            324          751,2
          190,0         867,28          +9,38          70,19           17,4            324          755,2
          191,0         866,86          +9,33          70,58           17,3            324          759,2
          192,0         866,44          +9,28          70,52           17,3            325          763,2
          193,0         866,01          +9,23          70,56           17,3            325          767,3
          194,0         865,58          +9,20          70,80           17,4            325          771,4
          195,0         865,15          +9,17          70,86           17,5            325          775,5
          196,0         864,71          +9,13          70,96           17,6            325          779,7
          197,0         864,28          +9,09          71,22           17,7            325          783,9
          198,0         863,84          +9,05          71,27           17,7            325          788,2
          199,0         863,39          +9,01          71,24           17,7            324          792,4
          200,0         862,95          +8,99          71,06           17,7            324          796,7
          201,0         862,50          +8,97          71,04           17,7            324          801,0
          202,0         862,05          +8,93          71,05           17,8            324          805,3
          203,0         861,60          +8,89          71,13           17,8            324          809,6
          204,0         861,15          +8,83          71,17           17,7            324          814,0
          205,0         860,69          +8,79          71,29           17,7            324          818,4
